RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
693,2013,0.0,0.0,1.0,4.0,5.0,1.0
695,2013,1.0,2.0,1.0,3.0,5.0,4.0
697,2013,1.0,1.0,0.0,1.0,4.0,5.0
698,2013,1.0,2.0,0.0,2.0,4.0,4.0
701,2013,1.0,1.0,0.0,1.0,5.0,2.0
703,2013,1.0,2.0,1.0,4.0,4.0,3.0
705,2013,0.0,1.0,0.0,1.0,1.0,5.0
707,2013,0.0,2.0,1.0,4.0,4.0,2.0
709,2013,0.0,1.0,1.0,1.0,3.0,3.0
710,2013,0.0,4.0,1.0,1.0,1.0,5.0
711,2013,0.0,2.0,0.0,4.0,3.0,4.0
714,2013,0.0,1.0,1.0,2.0,1.0,3.0
715,2013,1.0,1.0,1.0,1.0,1.0,5.0
716,2013,1.0,2.0,1.0,4.0,4.0,2.0
717,2013,1.0,4.0,0.0,1.0,1.0,5.0
718,2013,1.0,1.0,1.0,4.0,2.0,4.0
719,2013,1.0,4.0,0.0,4.0,4.0,5.0
720,2013,0.0,3.0,0.0,3.0,3.0,4.0
721,2013,0.0,4.0,1.0,2.0,2.0,4.0
722,2013,0.0,2.0,1.0,4.0,2.0,4.0
723,2013,0.0,2.0,1.0,1.0,1.0,5.0
724,2013,0.0,2.0,0.0,2.0,5.0,4.0
728,2013,0.0,1.0,1.0,4.0,3.0,4.0
729,2013,1.0,2.0,1.0,3.0,1.0,4.0
730,2013,0.0,1.0,1.0,2.0,5.0,5.0
731,2013,0.0,1.0,0.0,2.0,2.0,5.0
732,2013,0.0,4.0,0.0,4.0,5.0,4.0
733,2013,1.0,1.0,0.0,5.0,4.0,4.0
736,2013,1.0,3.0,1.0,5.0,5.0,5.0
737,2013,1.0,2.0,0.0,2.0,3.0,4.0
738,2013,1.0,1.0,1.0,3.0,4.0,3.0
739,2013,0.0,3.0,1.0,5.0,4.0,4.0
740,2013,0.0,1.0,0.0,3.0,4.0,4.0
741,2013,1.0,3.0,1.0,2.0,1.0,4.0
742,2013,0.0,1.0,1.0,5.0,5.0,2.0
745,2013,0.0,4.0,1.0,,,
746,2013,0.0,1.0,1.0,1.0,2.0,5.0
750,2013,0.0,3.0,1.0,2.0,1.0,5.0
752,2013,0.0,1.0,0.0,5.0,5.0,2.0
753,2013,1.0,1.0,1.0,1.0,2.0,5.0
754,2013,1.0,3.0,1.0,4.0,3.0,4.0
759,2013,0.0,2.0,1.0,,,
762,2013,1.0,3.0,1.0,1.0,1.0,5.0
764,2013,1.0,1.0,1.0,5.0,5.0,5.0
765,2013,0.0,1.0,1.0,4.0,4.0,4.0
769,2013,1.0,2.0,0.0,4.0,2.0,4.0
770,2013,1.0,4.0,0.0,5.0,1.0,5.0
777,2013,0.0,2.0,1.0,3.0,5.0,5.0
779,2013,0.0,1.0,1.0,1.0,1.0,5.0
783,2013,1.0,2.0,1.0,4.0,5.0,5.0
784,2013,0.0,2.0,0.0,2.0,1.0,5.0
785,2013,1.0,3.0,0.0,3.0,3.0,3.0
786,2013,1.0,2.0,1.0,2.0,4.0,5.0
790,2013,0.0,2.0,1.0,2.0,4.0,5.0
792,2013,0.0,3.0,1.0,2.0,2.0,4.0
795,2013,1.0,2.0,1.0,3.0,3.0,5.0
796,2013,0.0,1.0,1.0,2.0,1.0,2.0
797,2013,1.0,2.0,0.0,1.0,4.0,5.0
798,2013,1.0,2.0,1.0,2.0,5.0,4.0
799,2013,0.0,2.0,0.0,1.0,1.0,5.0
801,2013,0.0,0.0,1.0,4.0,3.0,5.0
802,2013,0.0,0.0,0.0,1.0,1.0,5.0
803,2013,0.0,2.0,0.0,2.0,2.0,5.0
804,2013,1.0,1.0,1.0,5.0,3.0,5.0
805,2013,1.0,1.0,0.0,2.0,2.0,5.0
806,2013,0.0,2.0,1.0,4.0,5.0,5.0
807,2013,0.0,2.0,1.0,4.0,5.0,1.0
808,2013,1.0,0.0,1.0,2.0,2.0,5.0
812,2013,0.0,1.0,1.0,4.0,5.0,2.0
813,2013,1.0,1.0,1.0,1.0,1.0,5.0
815,2013,0.0,2.0,0.0,5.0,4.0,4.0
817,2013,0.0,4.0,0.0,4.0,3.0,4.0
818,2013,1.0,2.0,1.0,3.0,2.0,3.0
820,2013,0.0,2.0,1.0,4.0,4.0,4.0
823,2013,1.0,1.0,1.0,3.0,4.0,5.0
825,2013,1.0,3.0,0.0,5.0,4.0,5.0
827,2013,1.0,2.0,1.0,3.0,5.0,5.0
828,2013,0.0,2.0,,2.0,1.0,4.0
831,2013,1.0,2.0,1.0,4.0,2.0,4.0
832,2013,1.0,2.0,1.0,2.0,3.0,4.0
833,2013,1.0,3.0,1.0,1.0,1.0,5.0
834,2013,0.0,2.0,0.0,2.0,2.0,4.0
836,2013,1.0,2.0,1.0,4.0,4.0,3.0
839,2013,0.0,2.0,1.0,3.0,5.0,5.0
841,2013,1.0,2.0,1.0,5.0,5.0,4.0
844,2013,0.0,2.0,1.0,4.0,5.0,3.0
849,2013,1.0,2.0,1.0,2.0,4.0,3.0
851,2013,0.0,0.0,0.0,1.0,1.0,1.0
853,2013,0.0,2.0,0.0,4.0,4.0,4.0
856,2013,1.0,1.0,1.0,1.0,3.0,5.0
857,2013,0.0,1.0,0.0,4.0,1.0,5.0
858,2013,1.0,1.0,1.0,1.0,5.0,3.0
860,2013,0.0,2.0,1.0,4.0,2.0,4.0
863,2013,0.0,2.0,0.0,2.0,1.0,5.0
864,2013,0.0,4.0,1.0,2.0,2.0,5.0
866,2013,1.0,3.0,1.0,1.0,4.0,3.0
867,2013,1.0,4.0,1.0,4.0,1.0,5.0
868,2013,0.0,3.0,1.0,2.0,2.0,4.0
